b,fc,d,fy,r,M
254,15.7,456,386,2.23,371.22
254,37,456,386,2.23,416.016
254,37.6,456,386,2.23,416.599
254,35.4,456,386,2.23,414.365
254,34.3,456,386,2.23,413.138
254,37.2,456,386,2.23,416.213
254,40.5,456,386,2.23,419.17
254,38.8,456,386,2.23,417.71
254,37.1,456,386,2.23,416.115
254,39.6,456,386,2.23,418.413
254,38.9,456,386,2.23,417.799
254,38,456,386,2.23,416.977
254,42.7,456,386,2.23,420.887
254,43,456,386,2.23,421.108
100,40.7,142,716,0.36,2.648
100,40.7,142,460,2.39,18.815
203.2,28.96,203.2,362,2.35,41.19
203.2,28.96,203.2,335.1,2.35,38.769
203.2,28.27,203.2,335.8,2.35,38.647
203.2,27.58,203.2,337.1,2.35,38.575
203.2,24.82,203.2,350.9,2.35,39.552
203.2,24.82,203.2,355.8,2.35,39.99
203.2,25.51,203.2,327.5,2.35,37.137
203.2,28.96,203.2,332.3,2.35,38.517
200,29.3,214,399.5,3.72,81.314
200,43.4,210,399.5,3.79,81.69
300,33.2,399,454.5,2.54,258.502
150,23.224,315,361.38,2.94,133.72
150,24.32,315,386.97,2.41,107.918
150,27.304,315,361.38,2.94,124.973
150,22.984,315,361.38,5.22,127.515
150,25.968,315,361.38,2.94,134.696
150,24.24,315,359.81,2.94,134.294
150,24.48,315,359.81,2.94,124.035
300,36.68,341,522.69,5.95,684.756
300,37.56,339,522.69,5.99,681.7
190.5,29.37,387.35,508.83,1.57,142.731
190.5,29.1,390.65,508.83,1.56,143.937
190.5,29.37,390.65,508.83,1.04,98.436
190.5,29.85,387.35,508.83,1.05,97.516
190.5,30.13,387.35,508.83,1.05,97.57
190.5,29.78,390.65,508.83,1.21,98.577
190.5,29.1,390.65,508.83,1.04,98.24
250,42.8,357.5,504.4468275,1.55,190.99
250,42.8,357.5,460,2.5,296.761
250,74.6,357.5,460,2.5,305.961
250,73.6,357.5,460,2.5,305.778
250,72.8,357.5,460,3.62,449.145
250,77,357.5,460,3.91,451.432
250,72.8,357.5,460,4.22,450.787
250,77,357.5,460,4.69,582.731
250,85.6,357.5,460.8442422,2.95,367.744
250,88.1,357.5,461.4802087,3.4,427.355
250,85.6,357.5,473.5299384,4.3,553.581
250,88.1,357.5,460,5.14,643.02
250,114.5,357.5,460,2.5,311.666
250,126.2,357.5,460,2.5,312.939
203.2,34.27,218.44,337.1,2.18,40.582
203.2,34.27,202.2,337.1,2.66,44.876
203.2,34.27,256.54,337.1,2.78,70.386
203.2,34.27,228,337.1,3.75,79.868
203.2,27.44,218.44,363.3,2.18,42.476
203.2,27.44,202.8,363.3,2.66,47.178
203.2,27.44,256.54,363.3,2.78,73.371
203.2,27.44,229.5,363.3,3.73,83.945
254,34.06,307.34,415.1,4.59,233.145
254,34.06,282.3,415.1,5.72,261.345
254,34.06,307.34,415.1,4.59,233.145
150,47.7,271.5,420,2.96,104.329
150,46.8,271.5,420,2.96,104.235
130,29.576,176,460,1.68,17.467
130,31.104,174,460,2.47,29.167
130,30.944,176,617,1.68,22.84
228.6,35.85,425.45,551.58,1.2,225.022
228.6,35.85,425.45,551.58,1.2,225.022
305,22.6,457,439.75,1.94,465.739
305,25.9,457,437.2903226,2.44,571.698
305,43.5,457,438.3684211,2.95,688.501
229,22.6,457,439.75,2.58,444.517
229,25.9,457,437.6666667,2.58,448.378
229,43.5,457,438.9032258,3.25,591.837
152,22.6,457,436,2.45,278.101
152,25.9,457,437.6666667,3.89,408.35
152,43.5,457,439.75,3.89,456.934
127,42.4,203.2,421,4.21,62.876
127,43.44,203.2,421,4.21,63.027
127,42.89,203.2,421,4.21,62.948
127,97.69,198.12,421,5.54,87.418
127,99.7,198.12,421,5.54,87.577
127,103.42,198.12,421,5.54,87.863
127,94.73,198.12,421,5.54,87.181
127,108.66,198.12,421,5.54,88.25
127,104.04,198.12,421,5.54,87.91
